Integer,Entropy,PrimeDivisors,Cluster,ClusterName,UMAP1,UMAP2
3388,13.287712379549442,3,2,Composite Crest,13.815876,-1.0714376
3389,13.287712379549442,1,2,Composite Crest,13.862226,-1.0659913
3390,13.287712379549442,4,2,Composite Crest,13.900632,-1.0628896
3391,13.287712379549442,1,2,Composite Crest,13.925652,-1.062828
3392,13.287712379549442,2,2,Composite Crest,13.978436,-1.0514207
3393,13.287712379549442,3,2,Composite Crest,14.00392,-1.0487113
3394,13.287712379549442,2,2,Composite Crest,14.033936,-1.0477555
3395,13.287712379549442,3,2,Composite Crest,14.088839,-1.0305351
3396,13.287712379549442,3,2,Composite Crest,14.128276,-1.0219939
3397,13.287712379549442,2,2,Composite Crest,14.162344,-1.0141428
3398,13.287712379549442,2,2,Composite Crest,14.198974,-1.003948
3399,13.287712379549442,3,2,Composite Crest,14.22492,-0.99629885
3400,13.287712379549442,3,2,Composite Crest,14.258446,-0.9855591
3401,13.287712379549442,2,2,Composite Crest,14.290522,-0.9754324
3402,13.287712379549442,3,2,Composite Crest,14.321336,-0.96181893
3403,13.287712379549442,2,2,Composite Crest,14.349521,-0.951246
3404,13.287712379549442,3,2,Composite Crest,14.365508,-0.9512392
3405,13.287712379549442,3,2,Composite Crest,14.408142,-0.92515886
3406,13.287712379549442,3,2,Composite Crest,14.436577,-0.9095314
3407,13.287712379549442,1,2,Composite Crest,14.464318,-0.8954376
3408,13.287712379549442,3,2,Composite Crest,14.488585,-0.8815429
3409,13.287712379549442,2,2,Composite Crest,14.531005,-0.8625538
3410,13.287712379549442,4,2,Composite Crest,14.571797,-0.83802867
3411,13.287712379549442,2,2,Composite Crest,14.5916815,-0.8280524
3412,13.287712379549442,2,2,Composite Crest,14.637369,-0.79717517
3413,13.287712379549442,1,2,Composite Crest,14.658033,-0.7892968
3414,13.287712379549442,3,2,Composite Crest,14.68778,-0.7731884
3415,13.287712379549442,2,2,Composite Crest,14.725207,-0.75084615
3416,13.287712379549442,3,2,Composite Crest,14.763835,-0.73221165
3417,13.287712379549442,3,2,Composite Crest,14.821426,-0.7044288
3418,13.287712379549442,2,2,Composite Crest,14.84782,-0.683082
3419,13.287712379549442,2,2,Composite Crest,14.890627,-0.65421015
3420,13.287712379549442,4,2,Composite Crest,14.933481,-0.6318692
3421,13.287712379549442,2,2,Composite Crest,14.972387,-0.6054037
3422,13.287712379549442,3,2,Composite Crest,15.022278,-0.5822588
3423,13.287712379549442,3,2,Composite Crest,15.041868,-0.5762445
3424,13.287712379549442,2,2,Composite Crest,15.100371,-0.5533411
3425,13.287712379549442,2,2,Composite Crest,15.146059,-0.518217
3426,13.287712379549442,3,2,Composite Crest,15.19635,-0.49163938
3427,13.287712379549442,2,2,Composite Crest,15.278095,-0.45406255
3428,13.287712379549442,2,2,Composite Crest,15.292043,-0.42270544
3429,13.287712379549442,2,2,Composite Crest,15.328689,-0.39618635
3430,13.287712379549442,3,2,Composite Crest,15.375289,-0.3692409
3431,13.287712379549442,2,2,Composite Crest,15.3950405,-0.35464504
3432,13.287712379549442,4,2,Composite Crest,15.424903,-0.33314848
3433,13.287712379549442,1,2,Composite Crest,15.453629,-0.3197866
3434,13.287712379549442,3,2,Composite Crest,15.481474,-0.2910627
3435,13.287712379549442,3,2,Composite Crest,15.5127325,-0.26704848
3436,13.287712379549442,2,2,Composite Crest,15.537292,-0.24418841
3437,13.287712379549442,2,2,Composite Crest,15.569471,-0.212651
3438,13.287712379549442,3,2,Composite Crest,15.612765,-0.16839096
3439,13.287712379549442,2,2,Composite Crest,15.630637,-0.14469047
3440,13.287712379549442,3,2,Composite Crest,15.634743,-0.13468197
3441,13.287712379549442,3,2,Composite Crest,15.646639,-0.111730665
3442,13.287712379549442,2,2,Composite Crest,15.658429,-0.08652993
3443,13.287712379549442,2,2,Composite Crest,15.66359,-0.0704726
3444,13.287712379549442,4,2,Composite Crest,15.678227,-0.05284533
3445,13.287712379549442,3,2,Composite Crest,15.68858,-0.036225192
3446,13.287712379549442,2,2,Composite Crest,15.692412,-0.012848338
3447,13.287712379549442,2,2,Composite Crest,15.674437,0.028852109
3448,13.287712379549442,2,2,Composite Crest,15.668747,0.055597425
3449,13.287712379549442,1,2,Composite Crest,15.663209,0.08134559
3450,13.287712379549442,4,2,Composite Crest,15.639452,0.13017873
3451,13.287712379549442,3,2,Composite Crest,15.642896,0.14833382
3452,13.287712379549442,2,2,Composite Crest,15.658899,0.17125653
3453,13.287712379549442,2,2,Composite Crest,15.633824,0.18076004
3454,13.287712379549442,3,2,Composite Crest,15.610694,0.20574166
3455,13.287712379549442,2,2,Composite Crest,15.592962,0.22028837
3456,13.287712379549442,2,2,Composite Crest,15.5777235,0.23664439
3457,13.287712379549442,1,2,Composite Crest,15.556599,0.2477392
3458,13.287712379549442,4,2,Composite Crest,15.53636,0.26104757
3459,13.287712379549442,2,2,Composite Crest,15.520617,0.27735075
3460,13.287712379549442,3,2,Composite Crest,15.490834,0.291233
3461,13.287712379549442,1,2,Composite Crest,15.459681,0.31941757
3462,13.287712379549442,3,2,Composite Crest,15.438496,0.3001379
3463,13.287712379549442,1,2,Composite Crest,15.397872,0.30952752
3464,13.287712379549442,2,2,Composite Crest,15.384293,0.28948244
3465,13.287712379549442,4,2,Composite Crest,15.365212,0.27891117
3466,13.287712379549442,2,2,Composite Crest,15.341982,0.26485977
3467,13.287712379549442,1,2,Composite Crest,15.317492,0.25084603
3468,13.287712379549442,3,2,Composite Crest,15.282243,0.23852974
3469,13.287712379549442,1,2,Composite Crest,15.2720375,0.21795152
3470,13.287712379549442,3,2,Composite Crest,15.246104,0.19596791
3471,13.287712379549442,3,2,Composite Crest,15.224788,0.17039403
3472,13.287712379549442,3,2,Composite Crest,15.192265,0.13138814
3473,13.287712379549442,2,2,Composite Crest,15.182028,0.12661067
3474,13.287712379549442,3,2,Composite Crest,15.169326,0.09364421
3475,13.287712379549442,2,2,Composite Crest,15.13736,0.05050379
3476,13.287712379549442,3,2,Composite Crest,15.11244,0.03680325
3477,13.287712379549442,3,2,Composite Crest,15.131738,0.015782472
3478,13.287712379549442,3,2,Composite Crest,15.120174,-0.021496363
